pair_indices,doc1_full_text,doc2_full_text,full_prompt,raw_llm_response,constraint_type,constraint
"(303, 1207)","Frank Jackson, Grayson Allen pace No. 6 Duke past William & Mary",#duke Duke Highlight: Grayson Allen leads the way with 17 points in an 88-67 win over William & Mary Wednesday (ES…,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Frank Jackson, Grayson Allen pace No. 6 Duke past William & Mary
Snippet 2: #duke Duke Highlight: Grayson Allen leads the way with 17 points in an 88-67 win over William & Mary Wednesday (ES…
",YES,Must-Link,"('MUST', (303, 1207))"
"(929, 1048)",Manufacturing growth and value of dollar are diminished. Dollar has no intrinsic value after end of gold standard. @user,Agatha Beans's sister! I love it #ScreamQueens,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Manufacturing growth and value of dollar are diminished. Dollar has no intrinsic value after end of gold standard. @user
Snippet 2: Agatha Beans's sister! I love it #ScreamQueens
",NO,Cannot-Link,"('CANNOT', (929, 1048))"
"(1047, 1427)",Who's better than Grayson Allen or josh Jackson 😂😂😂😂😂,"Mareb University is hosting a conference on Women IDPs in Mareb during Nov 26-27, 2016. #Yemen","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Who's better than Grayson Allen or josh Jackson 😂😂😂😂😂
Snippet 2: Mareb University is hosting a conference on Women IDPs in Mareb during Nov 26-27, 2016. #Yemen
",NO,Cannot-Link,"('CANNOT', (1047, 1427))"
"(450, 1094)",My day. #NationalFastFoodDay,happy #NationalFastFoodDay this is a pretty important one for me,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: My day. #NationalFastFoodDay
Snippet 2: happy #NationalFastFoodDay this is a pretty important one for me
",YES,Must-Link,"('MUST', (450, 1094))"
"(99, 625)",Use of HTC VIVE Virtual Reality-My Experience with Google Earth VR,Google Earth VR is awesome crazy. via /r/Vive,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Use of HTC VIVE Virtual Reality-My Experience with Google Earth VR
Snippet 2: Google Earth VR is awesome crazy. via /r/Vive
",YES,Must-Link,"('MUST', (99, 625))"
"(228, 901)","I don't mind Duke, but I hate Grayson Allen 😴🏀",Broadcasting #LiveNow on Are Today's #Muslims aware of the teachings of P #Muhammad? #ProphetMohammad #Mohammad,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: I don't mind Duke, but I hate Grayson Allen 😴🏀
Snippet 2: Broadcasting #LiveNow on Are Today's #Muslims aware of the teachings of P #Muhammad? #ProphetMohammad #Mohammad
",NO,Cannot-Link,"('CANNOT', (228, 901))"
"(608, 1224)",Forms of power still use fossil fuels as a power source and a build component.,@user @user that's awesome you met @user . I really enjoy the show #ThisIsUs,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Forms of power still use fossil fuels as a power source and a build component.
Snippet 2: @user @user that's awesome you met @user . I really enjoy the show #ThisIsUs
",NO,Cannot-Link,"('CANNOT', (608, 1224))"
"(311, 608)",Grayson Allen is so cute 😭😭😭,Forms of power still use fossil fuels as a power source and a build component.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Grayson Allen is so cute 😭😭😭
Snippet 2: Forms of power still use fossil fuels as a power source and a build component.
",NO,Cannot-Link,"('CANNOT', (311, 608))"
"(696, 1282)",Microsoft is extending it's reach and joining the Linux Foundation. Read about it here!,#TheLinuxFoundation Microsoft's open source love fest continues as it joins Linux Foundation. Read more:,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Microsoft is extending it's reach and joining the Linux Foundation. Read about it here!
Snippet 2: #TheLinuxFoundation Microsoft's open source love fest continues as it joins Linux Foundation. Read more:
",YES,Must-Link,"('MUST', (696, 1282))"
"(625, 1479)",Google Earth VR is awesome crazy. via /r/Vive,"Google Earth in VR is a ""profound, almost emotional"" experience. Many people are calling it the best thing they've experienced in VR.","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Google Earth VR is awesome crazy. via /r/Vive
Snippet 2: Google Earth in VR is a ""profound, almost emotional"" experience. Many people are calling it the best thing they've experienced in VR.
",YES,Must-Link,"('MUST', (625, 1479))"
"(293, 675)",@user I got this! So far my #GilmoreGirlsTop4 3.Sookie 2.Luke 1.Emily and my invisible 5 would be Richard!,#GilmoreGirlsTop4  4. Taylor 3. Richard 2. Sookie 1. Babette .. Invisible 5 is Jackson 👌,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: @user I got this! So far my #GilmoreGirlsTop4 3.Sookie 2.Luke 1.Emily and my invisible 5 would be Richard!
Snippet 2: #GilmoreGirlsTop4  4. Taylor 3. Richard 2. Sookie 1. Babette .. Invisible 5 is Jackson 👌
",YES,Must-Link,"('MUST', (293, 675))"
"(97, 547)",Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for,"4. Babette, 3. Miss Patty, 2. Richard, 1. LANE!!! #GilmoreGirlsTop4","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for
Snippet 2: 4. Babette, 3. Miss Patty, 2. Richard, 1. LANE!!! #GilmoreGirlsTop4
",NO,Cannot-Link,"('CANNOT', (97, 547))"
"(557, 1295)","#GilmoreGirlsTop4 Jess, Luke, Sookie and Michel","My #GilmoreGirlsTop4 not including the GGs themselves, or any of their guys: 4) Kirk 3) Sookie2) Jackson1) Michel","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: #GilmoreGirlsTop4 Jess, Luke, Sookie and Michel
Snippet 2: My #GilmoreGirlsTop4 not including the GGs themselves, or any of their guys: 4) Kirk 3) Sookie2) Jackson1) Michel
",NO,Cannot-Link,"('CANNOT', (557, 1295))"
"(55, 1133)",Chinese scientists convert infectious viruses into live vaccines to tackle deadly viruses,@user also worst sufjan album... and joanna newsoms voice is rlly shrill and obnxious (bob dylan's is unique tho)... bad taste arie,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Chinese scientists convert infectious viruses into live vaccines to tackle deadly viruses
Snippet 2: @user also worst sufjan album... and joanna newsoms voice is rlly shrill and obnxious (bob dylan's is unique tho)... bad taste arie
",NO,Cannot-Link,"('CANNOT', (55, 1133))"
"(210, 1256)",Which #GPU(s) to Get for Deep Learning. #BigData #DeepLearning #MachineLearning #DataScience #AI…,cant lie tony romo is a no show lol,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Which #GPU(s) to Get for Deep Learning. #BigData #DeepLearning #MachineLearning #DataScience #AI…
Snippet 2: cant lie tony romo is a no show lol
",NO,Cannot-Link,"('CANNOT', (210, 1256))"
"(608, 1101)",Forms of power still use fossil fuels as a power source and a build component.,I am thankful that #ScreamQueens is back ... have 2 episodes to catch up on 😂🙃,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Forms of power still use fossil fuels as a power source and a build component.
Snippet 2: I am thankful that #ScreamQueens is back ... have 2 episodes to catch up on 😂🙃
",NO,Cannot-Link,"('CANNOT', (608, 1101))"
"(937, 951)","Celine sing again, please#BeautyAndTheBeast",Let Céline sing the theme Song again! #BeautyAndTheBeast 2017 #emmawatson #BeOurGuest #CelineDion,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Celine sing again, please#BeautyAndTheBeast
Snippet 2: Let Céline sing the theme Song again! #BeautyAndTheBeast 2017 #emmawatson #BeOurGuest #CelineDion
",YES,Must-Link,"('MUST', (937, 951))"
"(675, 1269)",#GilmoreGirlsTop4  4. Taylor 3. Richard 2. Sookie 1. Babette .. Invisible 5 is Jackson 👌,@user @user As Venezuelans you should be ashamed of yourselves! As if Chavez y Maduro's damage didn't have Bolivar turning,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: #GilmoreGirlsTop4  4. Taylor 3. Richard 2. Sookie 1. Babette .. Invisible 5 is Jackson 👌
Snippet 2: @user @user As Venezuelans you should be ashamed of yourselves! As if Chavez y Maduro's damage didn't have Bolivar turning
",NO,Cannot-Link,"('CANNOT', (675, 1269))"
"(343, 805)",@user @user @user finally someone who understands the electoral college!,@user  Perfect argument against Electoral College!,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: @user @user @user finally someone who understands the electoral college!
Snippet 2: @user  Perfect argument against Electoral College!
",YES,Must-Link,"('MUST', (343, 805))"
"(824, 1269)","Christmas list: Gains, 10lbs of 100% Whey Gold Standard Protein Powder, more gains.",@user @user As Venezuelans you should be ashamed of yourselves! As if Chavez y Maduro's damage didn't have Bolivar turning,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Christmas list: Gains, 10lbs of 100% Whey Gold Standard Protein Powder, more gains.
Snippet 2: @user @user As Venezuelans you should be ashamed of yourselves! As if Chavez y Maduro's damage didn't have Bolivar turning
",NO,Cannot-Link,"('CANNOT', (824, 1269))"
"(97, 248)",Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for,I will. Just like Seventh Woods is gonna block a Grayson Allen shot this season.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for
Snippet 2: I will. Just like Seventh Woods is gonna block a Grayson Allen shot this season.
",NO,Cannot-Link,"('CANNOT', (97, 248))"
"(95, 266)","Microsoft—yes, Microsoft—joins the Linux Foundation",Microsoft Joins The Linux Foundation,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Microsoft—yes, Microsoft—joins the Linux Foundation
Snippet 2: Microsoft Joins The Linux Foundation
",YES,Must-Link,"('MUST', (95, 266))"
"(44, 411)",@user Marine Le Pen should win France,@user are you hoping for a Marine Le Pen win?,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: @user Marine Le Pen should win France
Snippet 2: @user are you hoping for a Marine Le Pen win?
",YES,Must-Link,"('MUST', (44, 411))"
"(1113, 1182)","Treating Lupus with CannabisLupus is an autoimmune disease that causes inflammation throughout the body,...",-- @user Stop pushing #NeverRomney as @user SOS you are hurting Trump's transition with incompetency. Pick another SOS,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Treating Lupus with CannabisLupus is an autoimmune disease that causes inflammation throughout the body,...
Snippet 2: -- @user Stop pushing #NeverRomney as @user SOS you are hurting Trump's transition with incompetency. Pick another SOS
",NO,Cannot-Link,"('CANNOT', (1113, 1182))"
"(696, 1269)",Microsoft is extending it's reach and joining the Linux Foundation. Read about it here!,@user @user As Venezuelans you should be ashamed of yourselves! As if Chavez y Maduro's damage didn't have Bolivar turning,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Microsoft is extending it's reach and joining the Linux Foundation. Read about it here!
Snippet 2: @user @user As Venezuelans you should be ashamed of yourselves! As if Chavez y Maduro's damage didn't have Bolivar turning
",NO,Cannot-Link,"('CANNOT', (696, 1269))"
"(230, 1310)",Yesterday: #NationalFastFoodDayToday: #NationalTakeaHikeDayCoincidence? I think not....,We need #NationalTakeAHikeDay after yesterday was #NationalFastFoodDay,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Yesterday: #NationalFastFoodDayToday: #NationalTakeaHikeDayCoincidence? I think not....
Snippet 2: We need #NationalTakeAHikeDay after yesterday was #NationalFastFoodDay
",YES,Must-Link,"('MUST', (230, 1310))"
"(881, 1176)","RT @user Was “fascist” as awful a word when it appeared? “Nazi”? No, these terms prove their horror through action/rhetoric. Like a…","And tonight, I release a special song cover for the late Leonard Cohen and King89698. Enjoy","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: RT @user Was “fascist” as awful a word when it appeared? “Nazi”? No, these terms prove their horror through action/rhetoric. Like a…
Snippet 2: And tonight, I release a special song cover for the late Leonard Cohen and King89698. Enjoy
",NO,Cannot-Link,"('CANNOT', (881, 1176))"
"(97, 1032)",Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for,Wishing you a great #Shabbat & relaxed #weekend from #Jerusalem! #weekendvibes #shabbatshalom #FinallyFree #fun…,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for
Snippet 2: Wishing you a great #Shabbat & relaxed #weekend from #Jerusalem! #weekendvibes #shabbatshalom #FinallyFree #fun…
",NO,Cannot-Link,"('CANNOT', (97, 1032))"
"(210, 410)",Which #GPU(s) to Get for Deep Learning. #BigData #DeepLearning #MachineLearning #DataScience #AI…,seriously though zac efron in hairspray is the reason my life is great,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Which #GPU(s) to Get for Deep Learning. #BigData #DeepLearning #MachineLearning #DataScience #AI…
Snippet 2: seriously though zac efron in hairspray is the reason my life is great
",NO,Cannot-Link,"('CANNOT', (210, 410))"
"(169, 858)",i made cauliflower steaks and they were great why is vegetarianism so good,Reckless Moron. 😡🌪🇺🇸#trumptransitionteam #notmypresident #fucktrump #jewishresistance…,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: i made cauliflower steaks and they were great why is vegetarianism so good
Snippet 2: Reckless Moron. 😡🌪🇺🇸#trumptransitionteam #notmypresident #fucktrump #jewishresistance…
",NO,Cannot-Link,"('CANNOT', (169, 858))"
"(713, 725)","@user Those ""Tony Romo"" socks, that's a no go. Package them up, send them to Skip Bayless.",Kangen water restores the body to perfect health.⭕40 year track record⭕Gold standard of water…,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: @user Those ""Tony Romo"" socks, that's a no go. Package them up, send them to Skip Bayless.
Snippet 2: Kangen water restores the body to perfect health.⭕40 year track record⭕Gold standard of water…
",NO,Cannot-Link,"('CANNOT', (713, 725))"
"(97, 675)",Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for,#GilmoreGirlsTop4  4. Taylor 3. Richard 2. Sookie 1. Babette .. Invisible 5 is Jackson 👌,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for
Snippet 2: #GilmoreGirlsTop4  4. Taylor 3. Richard 2. Sookie 1. Babette .. Invisible 5 is Jackson 👌
",NO,Cannot-Link,"('CANNOT', (97, 675))"
"(169, 1379)",i made cauliflower steaks and they were great why is vegetarianism so good,🏀  Time out / Temps mort. Min 33: @user 66 - @user 59 #fcblive #GSOFCB,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: i made cauliflower steaks and they were great why is vegetarianism so good
Snippet 2: 🏀  Time out / Temps mort. Min 33: @user 66 - @user 59 #fcblive #GSOFCB
",NO,Cannot-Link,"('CANNOT', (169, 1379))"
"(337, 625)",Google Earth VR may be the best way to explore the world without a plane ticket by #CrescentVale via @user,Google Earth VR is awesome crazy. via /r/Vive,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Google Earth VR may be the best way to explore the world without a plane ticket by #CrescentVale via @user
Snippet 2: Google Earth VR is awesome crazy. via /r/Vive
",YES,Must-Link,"('MUST', (337, 625))"
"(525, 877)","@user ""Trump holds stock in the company building the disputed Dakota Access oil pipeline…""https://t.co/EGU1BAhf28",Donald Trump’s stock in Dakota Access oil pipeline company prompts concern - National | Globalnews.ca,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: @user ""Trump holds stock in the company building the disputed Dakota Access oil pipeline…""https://t.co/EGU1BAhf28
Snippet 2: Donald Trump’s stock in Dakota Access oil pipeline company prompts concern - National | Globalnews.ca
",YES,Must-Link,"('MUST', (525, 877))"
"(97, 488)",Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for,I'm just happy Grayson Allen's playing. 💙💙💙,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for
Snippet 2: I'm just happy Grayson Allen's playing. 💙💙💙
",NO,Cannot-Link,"('CANNOT', (97, 488))"
"(97, 753)",Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for,#GilmoreGirlsTop4 brought to you by 1. Babette 2. Jackson 3. Jess 4. Brian 🤗 Happy #GilmoreGirlsRevival Day!!,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for
Snippet 2: #GilmoreGirlsTop4 brought to you by 1. Babette 2. Jackson 3. Jess 4. Brian 🤗 Happy #GilmoreGirlsRevival Day!!
",NO,Cannot-Link,"('CANNOT', (97, 753))"
"(97, 346)",Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for,Ahhhhh this is amazing! I cannot wait👸🏽 #BeautyAndTheBeast 💙💛,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for
Snippet 2: Ahhhhh this is amazing! I cannot wait👸🏽 #BeautyAndTheBeast 💙💛
",NO,Cannot-Link,"('CANNOT', (97, 346))"
"(809, 1288)",Very promising results for effectiveness of homeopathy. Thanks for sharing.,"Iggy from the""Revolution Club"" mad that Trump called #Chicago  a ""sanctuary city""What????#BlackLivesMatter #MAGA","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Very promising results for effectiveness of homeopathy. Thanks for sharing.
Snippet 2: Iggy from the""Revolution Club"" mad that Trump called #Chicago  a ""sanctuary city""What????#BlackLivesMatter #MAGA
",NO,Cannot-Link,"('CANNOT', (809, 1288))"
"(652, 1233)","""Kim fatty the third""",People are calling him Kim Fatty The Third?,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: ""Kim fatty the third""
Snippet 2: People are calling him Kim Fatty The Third?
",NO,Cannot-Link,"('CANNOT', (652, 1233))"
"(1048, 1364)",Agatha Beans's sister! I love it #ScreamQueens,"Trump is expected to make 2 staffing decisions today, but not Cabinet level, says transition spokesman Jason Mille…","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Agatha Beans's sister! I love it #ScreamQueens
Snippet 2: Trump is expected to make 2 staffing decisions today, but not Cabinet level, says transition spokesman Jason Mille…
",NO,Cannot-Link,"('CANNOT', (1048, 1364))"
"(97, 1123)",Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for,My face but with Ashley Graham's bodyy😩😭,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for
Snippet 2: My face but with Ashley Graham's bodyy😩😭
",NO,Cannot-Link,"('CANNOT', (97, 1123))"
"(95, 696)","Microsoft—yes, Microsoft—joins the Linux Foundation",Microsoft is extending it's reach and joining the Linux Foundation. Read about it here!,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Microsoft—yes, Microsoft—joins the Linux Foundation
Snippet 2: Microsoft is extending it's reach and joining the Linux Foundation. Read about it here!
",YES,Must-Link,"('MUST', (95, 696))"
"(338, 630)",Lover Lover Lover by Leonard Cohen is totally about being a trans girl like come on it's not even subtle,Iraqi militias claim to have isolated IS-controlled #Mosul #MosulOffensive,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Lover Lover Lover by Leonard Cohen is totally about being a trans girl like come on it's not even subtle
Snippet 2: Iraqi militias claim to have isolated IS-controlled #Mosul #MosulOffensive
",NO,Cannot-Link,"('CANNOT', (338, 630))"
"(337, 1479)",Google Earth VR may be the best way to explore the world without a plane ticket by #CrescentVale via @user,"Google Earth in VR is a ""profound, almost emotional"" experience. Many people are calling it the best thing they've experienced in VR.","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Google Earth VR may be the best way to explore the world without a plane ticket by #CrescentVale via @user
Snippet 2: Google Earth in VR is a ""profound, almost emotional"" experience. Many people are calling it the best thing they've experienced in VR.
",YES,Must-Link,"('MUST', (337, 1479))"
