document_index,document_text,generated_keyphrases
30,set an alarm for nine am,"set alarm, nine am, alarm scheduling, reminder setup, time alert, alarm clock, time management"
31,change alarm to start at midnight,"alarm scheduling, start time adjustment, midnight alarm setting, device alarm configuration, time-based alarm modification, alarm trigger time, schedule change"
32,alarm ten am,"alarm setting, scheduled alarm, 10 AM reminder, time alert, morning alarm"
33,set an alarm for me for tomorrow,"set alarm, reminder for tomorrow, schedule alarm, alarm notification, time management, reminder setup, alarm configuration"
34,set an alarm for twelve,"setting an alarm, alarm for twelve, time notification, reminder setup, clock alarm configuration, schedule alert, time-based reminder"
35,set a timer at five am seven days a week,"daily alarm setting, weekly alarm schedule, morning routine automation, time management, alarm configuration, repeating alarm setup, early morning wake-up"
36,i need to set an alarm for next friday at noon,"set alarm, next Friday, noon, alarm scheduling, reminder setting, date and time, alarm notification"
37,please sound an alarm three hours before a scheduled event,"alarm notification, scheduled event reminder, timed alert, pre-event alert, alarm timing instructions, event scheduling, reminder setup"
38,can you set an alarm for seven am,"set alarm, seven am, alarm scheduling, time-specific reminder, device alarm function, morning alarm, alarm request"
39,alert me at ten am please,"reminder alert, schedule notification, set alarm, time-specific alert, reminder request, notification at ten am, time management"
40,set the alarm to seven am for work,"set alarm, seven am, alarm for work, schedule wake-up, morning alarm, reminder for work, alarm time"
41,wake up time,"wake up time, morning wake-up schedule, daily routine, alarm clock setting, sleep-wake cycle, morning alertness, sleep schedule management"
42,change my alarms to mountain time,"Alarm time adjustment, Time zone change, Mountain Time, Alarm settings modification, Time zone conversion, Alarm configuration, Time zone adjustment"
43,set up each day an alarm at ten time for my meal,"daily alarm setup, meal reminder, alarm at 10 o'clock, schedule daily notifications, reminder for mealtime, daily routine alert, meal time alert"
44,please set an alarm clock for my next meeting with the team at three pm next friday,"set alarm clock, next meeting, team meeting, 3 pm, next Friday, schedule reminder, alarm for appointment"
45,set my alarm for six am,"set alarm, alarm clock setting, schedule wake-up time, morning alarm, device alarm configuration, time management, wake-up reminder"
46,set an alarm for this eight hundred pm this evening,"set alarm, eight hundred pm, this evening, alarm scheduling, time-specific reminder, daily alarm setup, event reminder"
47,set alarm at six thirty am,"set alarm, alarm time, schedule alarm, reminder for 6:30 AM, alarm configuration, time setting, morning alarm"
48,make me a wake up alarm for eight forty five am,"alarm setting, wake-up alarm, time specification, morning routine, alarm customization, scheduled alarm, personal reminder"
49,could you please lower the tone,"tone adjustment, communication tone, request for softer tone, speech modulation, conversation politeness, emotional expression control, dialogue tone modification"
50,please talk softer,"request for softer speaking tone, tone modulation, volume control, gentle communication, emotional sensitivity, auditory comfort, speech softness"
51,lower the speak volume,"volume control, speak volume adjustment, reduce speech loudness, audio level decrease, speech volume moderation, sound level lowering, communication clarity"
52,it is too loud decrease the volume,"volume control, loudness adjustment, decrease sound level, audio settings, user complaint about noise, sound volume reduction, auditory environment management"
53,turn down volume,"volume control, reduce sound level, lower audio volume, decrease volume, adjust sound settings, mute or quieten audio, audio volume adjustment"
54,reduce volume,"volume reduction, decrease sound level, audio attenuation, lowering volume, sound intensity control, audio volume adjustment, reduce loudness"
55,lower the volume to twenty,"volume adjustment, audio control, lower volume, sound level reduction, audio settings, volume decrease, sound management"
56,lower volume by fifty percent,"volume reduction, fifty percent decrease, sound level adjustment, audio volume control, decrease volume by half, volume attenuation, sound level modification"
57,quiet please,"request for silence, asking for quiet, noise reduction, silence request, maintaining quiet environment, request for quietness, peaceful atmosphere"
58,mute sound from speakers,"mute speakers, sound control, audio management, silence output, audio muting, speaker volume adjustment, audio settings"
59,please mute for five minutes,"muting for five minutes, temporary silence command, audio mute duration, short-term audio deactivation, brief mute instruction, temporary audio suppression, five-minute mute period"
60,mute my speakers for a minute here i need to make a call,"mute speakers, pause audio output, silence device temporarily, prepare for call, audio control, temporary audio mute, manage sound settings"
61,mute speaker,"mute speaker, audio control, sound suppression, audio device management, mute functionality, audio output settings, speaker deactivation"
62,silence volume on speakers,"mute speakers, adjust speaker volume, silence audio output, control sound levels, audio management, mute/unmute speakers, volume control"
63,turn off media volume,"media volume control, mute media sound, silence audio output, disable media audio, audio settings adjustment, turn off sound, media playback mute"
64,i need you to be quiet until tomorrow,"request for silence, temporary quiet, waiting until tomorrow, asking for quietness, silence until next day, request for silence, temporary request for quiet"
65,go to sleep,"sleep instruction, bedtime command, rest and relaxation, sleep initiation, sleeping habits, sleep-related directive, restorative sleep"
66,no notifications for five minutes,"notification silence, no alerts for five minutes, absence of notifications, notification timeout, silent period, alert suppression, notification inactivity"
67,turn off the sound,"mute audio, disable sound, turn sound off, audio control, sound settings, silence device, audio management"
68,mute the music,"mute the music, silence audio, stop sound playback, audio control command, deactivate music output, sound muting action, audio management"
69,pause for ten seconds,"pause command, timed pause, silence instruction, temporary halt, waiting period, pause duration, moment of silence"
70,set mute for twenty minutes,"mute setting, temporary silence, audio control, device mute duration, user command, audio management, privacy or focus mode"
71,i need to mute the speaker,"mute speaker, audio control, silence audio output, deactivate sound, audio management, mute function, sound suppression"
72,could you speak a little more softly,"request for softer speaking volume, tone adjustment request, volume control, communication etiquette, auditory comfort, speech modulation, politeness in conversation"
73,turn it up,"music volume increase, audio amplification, turning up sound, increase sound level, volume control, audio settings adjustment, loudness enhancement"
74,just increase the volume a little,"audio volume adjustment, sound level increase, volume control, audio settings, user instruction, sound amplification, audio output modification"
75,olly turn the volume up,"volume control, audio adjustment, increase sound level, music playback, user command, sound settings, audio volume increase"
76,raise volume to level seven on music player,"adjust volume, music player controls, increase sound level, audio volume setting, media playback adjustment, sound intensity increase, volume control command"
77,i want the speakers turned up high,"adjust speaker volume, increase audio output, maximize sound levels, amplify speakers, raise volume settings, audio control preferences, sound system adjustment"
78,rise volume,"audio volume adjustment, increase sound level, volume control, sound amplification, audio settings, raise volume, sound level increase"
79,please increase the volume of the music hips don't lie,"music volume adjustment, increase music volume, song: hips don't lie, audio control commands, music playback settings, volume enhancement request, song title: hips don't lie"
80,raise the volume of my music player by fifty percent,"music volume adjustment, increase playback volume, audio control, sound level enhancement, music player settings, volume increase command, audio volume modification"
81,speak as loud as you can,"vocal volume, loud speaking, speech intensity, auditory projection, communication clarity, expressive speech, volume emphasis"
82,increase volume please,"audio volume adjustment, increase sound level, volume control request, audio settings modification, amplify audio output, sound volume increase, audio playback enhancement"
83,make this a bit louder,"volume adjustment, increase loudness, audio control, sound level modification, amplification request, audio settings, loudness enhancement"
84,increase volume to fifty percent,"audio volume adjustment, increase sound level, volume control, audio settings, sound amplification, user interface command, media playback volume"
85,when is the school dance junction marked,"school dance timing, junction marking, event schedule, school event planning, dance date identification, school calendar, event marking schedule"
86,what is my schedule for tomorrow,"schedule planning, tomorrow's agenda, personal calendar, daily timetable, upcoming appointments, task organization, time management"
87,am i available at five pm on sunday,"availability inquiry, schedule confirmation, Sunday 5 PM, personal availability, appointment planning, time slot inquiry, calendar check"
88,do i have any notifications from social media,"social media notifications, checking notifications, social media alerts, user notification status, social media activity updates, digital communication alerts, online platform notifications"
89,what do i have scheduled for next week,"schedule for next week, upcoming appointments, weekly calendar, personal planning, future commitments, agenda overview, time management"
90,tell me the meetings i have for the week,"meeting schedule, weekly appointments, calendar overview, upcoming meetings, schedule management, agenda planning, time organization"
91,do i have any openings on my schedule for tomorrow,"schedule availability, appointment slots, tomorrow's schedule, calendar openings, availability inquiry, appointment scheduling, time management"
92,do i need to pick up the kids from anything today,"picking up kids, child pickup schedule, today's childcare arrangements, parenting responsibilities, school pickup duties, child transportation plans, daily childcare tasks"
93,is there anything i need to be aware of,"information awareness, precautionary considerations, important notices, user guidance, awareness of potential issues, security and safety tips, general advisories"
94,do i have any undone tasks,"task management, unfinished tasks, to-do list, pending chores, personal organization, task completion status, productivity inquiry"
95,what is left for today,"daily schedule, remaining tasks, today's agenda, pending activities, current day's plan, to-do list for today, unfinished tasks"
96,list out my upcoming events,"Upcoming events listing, Personal schedule overview, Event planning and management, Calendar and appointments, Time management and organization, Event reminders and notifications, Schedule overview"
97,one thousand two hundred and thirty pm already you will have a meeting in ten mins,"meeting reminder, scheduled appointment, time notification, early morning meeting, time management, event scheduling, appointment alert"
98,is the meeting scheduled for tomorrow,"meeting schedule, tomorrow's meeting, appointment planning, event timing, schedule confirmation, meeting arrangement, calendar event"
99,when the birthday will be,"birthday inquiry, date of birthday, personal event timing, celebration planning, birthdate information, special occasion scheduling, personal milestone"
100,when is my next appointment and who do i contact to reschedule,"appointment scheduling, rescheduling contact, next appointment inquiry, patient appointment management, healthcare appointment details, contact for appointment changes, medical appointment information"
101,what is the plan for tonight,"evening plans, tonight's schedule, social activities tonight, dinner plans, leisure activities, plans for the evening, nighttime arrangements"
102,what day of the week is my birthday this year,"birthday date, day of the week, current year, date calculation, personal event, calendar query, date and time"
103,what is my schedule for june fourteenth two thousand and seventeen,"schedule inquiry, June 14, 2017, calendar planning, date-specific schedule, personal calendar, appointment details, event planning"
104,remove the next event on my calendar,"calendar management, event removal, schedule editing, personal organizer, appointment cancellation, calendar application, event management"
105,format the calendar,"calendar formatting, schedule organization, date management, event planning, time management, calendar customization, date display settings"
106,remove the board meeting and reschedule for next wednesday,"meeting rescheduling, board meeting removal, schedule change, next Wednesday appointment, event rescheduling, meeting cancellation and rescheduling, organizational planning"
107,delete event from mine,"delete event, remove event, event management, calendar modification, data deletion, user action, event scheduling"
108,cancel the event valentine's day from the calendar,"event cancellation, Valentine's Day, calendar management, event planning, date removal, holiday scheduling, event rescheduling"
109,remove my meeting today at one pm,"meeting cancellation, rescheduling appointment, cancel meeting, schedule change, time adjustment, appointment removal, today's meeting"
110,i no longer need to see the doctor can that event be removed,"medical appointment cancellation, removal of medical event, no longer need doctor consultation, canceling healthcare appointment, patient request to delete appointment, medical record update, appointment removal request"
111,please remove march nineteenth's scheduled event,"event rescheduling, calendar management, schedule modification, event cancellation, date adjustment, event removal, appointment management"
112,make sure there is no events on my calendar,"calendar management, event scheduling, calendar availability, schedule blocking, no events, calendar customization, personal schedule control"
113,remove all the events on my calendar,"calendar management, event removal, schedule editing, personal organizer, digital calendar, event deletion, calendar cleanup"
114,delete my meeting event for march nineteen at one pm,"Meeting cancellation, Delete event, Schedule management, Calendar editing, Event rescheduling, March 19 appointment, Time-specific deletion"
115,remove upcoming task,"task removal, upcoming task deletion, to-do list management, task scheduling, task organization, task prioritization, workflow optimization"
116,remove emma's birthday from events,"remove Emma's birthday, edit event details, modify calendar entries, delete specific event, update schedule, event management, personal calendar editing"
117,in my calendar delete all of my golf events for the current month,"calendar management, delete golf events, current month schedule, event removal, sports event cancellation, calendar editing, golf event management"
118,erase calendar events,"calendar event deletion, erasing scheduled events, removing calendar entries, delete calendar appointments, clear calendar schedule, manage calendar data, event removal process"
119,take lunch meeting off my calendar,"schedule adjustment, lunch meeting removal, calendar management, meeting rescheduling, personal time blocking, professional scheduling, calendar editing"
120,delete all my events for tomorrow,"event deletion, calendar management, schedule modification, tomorrow's events, task automation, personal organizer, event cancellation"
121,delete the party on june first from my calendar,"calendar management, event deletion, scheduling modification, June first appointment, calendar editing, event removal request, date-specific scheduling"
122,can to please clear my calendar of all events,"calendar management, event removal, schedule clearing, personal appointment management, time management request, calendar organization, event cancellation"
123,set a reminder for tomorrow evening,"set reminder, tomorrow evening, reminder notification, schedule alert, time management, event reminder, daily planning"
124,notify me when the event is going to take place,"event notification, reminder alert, event scheduling, notification request, event timing alert, schedule reminder, event announcement"
125,add jim and jerry to event,"adding participants to event, Jim and Jerry inclusion, event planning and management, guest list modification, collaborative event organization, participant addition process, event scheduling and coordination"
126,make a repeating reminder for my yoga practice every day at noon,"daily yoga reminder, repeating reminder, yoga practice schedule, daily wellness routine, meditation and exercise, reminder notification, mindfulness and fitness"
127,i have a meeting with sean at four pm on wednesday can you remind me,"meeting reminder, appointment with Sean, Wednesday 4 PM, schedule management, personal reminder, meeting notification, time-specific alert"
128,create an event gym day on monday and set it to repeat,"event creation, gym day, schedule recurring event, Monday workout, fitness event planning, repeating event setup, exercise session scheduling"
129,blot me all the phone calls planned for the morning of twenty three march,"phone calls scheduling, morning appointments, March 23rd communication plan, planned phone conversations, daily communication schedule, call planning for specific date, telecommunication arrangements"
130,can you remind me about my meeting tomorrow,"meeting reminder, schedule notification, tomorrow's appointment, calendar alert, reminder request, upcoming meeting, event scheduling"
131,repeat reminder for my schedule for christmas,"Christmas schedule reminder, holiday planning, event scheduling, seasonal reminders, Christmas activities, personal calendar update, festive season planning"
132,remind me to call my grandma this sunday,"reminder, call grandma, schedule call, family communication, Sunday appointment, personal reminder, family connection"
133,next week my uncle birthday,"family celebration, uncle's birthday, upcoming event, personal occasion, family gathering, birthday celebration, personal milestone"
134,add running to my calendar for thursday,"adding running to calendar, schedule workout on Thursday, fitness activity planning, exercise reminder, Thursday exercise appointment, personal fitness scheduling, running session planning"
135,i would like to attend church every sunday at eleven am,"attending church, weekly religious service, Sunday morning worship, church attendance routine, religious practice, spiritual commitment, faith community participation"
136,see if john is available for a meeting on monday,"John's availability, meeting scheduling, Monday appointment, availability check, person's schedule, meeting planning, calendar coordination"
137,remind me about the meeting,"meeting reminder, schedule notification, appointment alert, event reminder, calendar notification, meeting preparation, time management"
138,set the alarm in my calendar events before five mins,"calendar alarm setting, event reminder, schedule notification, alarm before event, calendar alert customization, time management, event alert configuration"
139,activate a one week notification before my anniversary please,"reminder setup, anniversary notification, event alert, date-specific reminder, personal event alert, notification scheduling, anniversary alert"
140,could you please schedule a meeting with this person,"meeting scheduling, communication request, arranging appointments, collaborative planning, professional coordination, calendar management, contact engagement"
141,i have a meeting with al on march twenty first at ten,"meeting scheduling, Al appointment, March 21st, date and time, event planning, calendar reminder, professional communication"
142,help me make brownies,"baking brownies, brownie recipe assistance, dessert preparation, chocolate baked goods, baking instructions, culinary help, sweet treat creation"
143,crabmeat recipe,"crabmeat recipe, seafood cooking, crab dishes, seafood culinary preparation, crab meat ingredients, seafood recipes, crab cuisine"
144,it should spices,"use of spices, culinary ingredients, flavor enhancement, seasoning in cooking, spice types and varieties, culinary flavoring agents, spice application in recipes"
145,tell how vegetable is cooked,"vegetable cooking methods, culinary techniques for vegetables, how to prepare vegetables, cooking instructions for vegetables, vegetable preparation tips, methods of cooking vegetables, vegetable culinary processes"
146,learn to cut potatoes correctly,"potato cutting techniques, food preparation skills, kitchen knife skills, vegetable chopping methods, culinary knife safety, proper potato slicing, cooking and food prep"
147,how to cook that meal,"cooking instructions, meal preparation, recipe steps, culinary techniques, kitchen tips, food cooking methods, meal cooking guide"
148,can i get a recipe for tuna,"tuna recipe, cooking instructions for tuna, seafood recipe, how to prepare tuna, tuna dish ideas, culinary uses of tuna, fish recipe"
149,please cook me a hamburger,"cooking a hamburger, preparing a burger, food preparation request, culinary instruction, meal customization, fast food cooking, burger assembly"
150,how to cook yellow rice,"cooking yellow rice, yellow rice recipe, preparing yellow rice, cooking techniques for yellow rice, yellow rice ingredients, culinary methods for yellow rice, how to make yellow rice"
151,i need to know how to make stuffed peppers,"stuffed peppers recipe, cooking instructions for stuffed peppers, how to prepare stuffed peppers, stuffed peppers ingredients, culinary techniques for stuffed peppers, vegetable stuffed dishes, meal preparation tips"
152,how can i cook pasta,"pasta cooking methods, how to cook pasta, pasta preparation tips, boiling pasta instructions, cooking pasta techniques, pasta recipes, culinary tips for pasta"
153,look for different recipes,"recipe search, cooking recipes, culinary ideas, meal preparation, recipe discovery, food and cooking, kitchen recipes"
154,what ingredient can be used instead of saffron,"saffron substitute, culinary ingredient alternatives, spice replacement options, saffron flavoring alternatives, culinary ingredient substitution, substitutes for saffron in recipes, spice replacement"
155,find apple pie recipe,"apple pie recipe, baking instructions for apple pie, dessert recipe, fruit pie preparation, homemade apple pie, baking and cooking, recipe search for apple desserts"
156,do i have enough ingredients in my refrigerator,"ingredient sufficiency, refrigerator inventory check, meal preparation planning, ingredient availability assessment, kitchen inventory management, cooking ingredient check, food stock evaluation"
157,search for your favorite meal,"meal search, favorite food, food discovery, dining preferences, cuisine exploration, meal options, food selection"
158,tell me the preparation method for chicken sixty five,"Preparation method, Chicken sixty five, Cooking instructions, Recipe details, Indian appetizer, Spicy fried chicken, Cuisine-specific recipe"
159,i would like it to be able to find recipes i have,"recipe retrieval, personal recipe management, searching saved recipes, recipe organization, cooking and culinary interests, recipe database access, food and cooking topics"
160,why do people use avocado seeds,"avocado seed usage, reasons for using avocado seeds, benefits of avocado seeds, avocado seed applications, nutritional properties of avocado seeds, health benefits of avocado seeds, why people consume avocado seeds"
161,if it's eight pm on the east coast what time is it in sacramento california,"time zone conversion, Eastern Time to Pacific Time, current time in Sacramento, time difference between East Coast and California, time calculation for different regions, time zone awareness, local time in Sacramento"
162,if it is four pm in missouri what time is it in london,"time zone conversion, Missouri time, London time, current time difference, time zone calculation, world clock comparison, international time zones"
163,can you please change the time zone to us,"time zone adjustment, US time zone, schedule modification, time zone change request, regional time settings, timezone conversion, time zone preference"
164,which time zone are we in please change to current,"time zone inquiry, current time zone, time zone clarification, time zone adjustment, local time zone, time zone identification, current time zone setting"
165,please change time zone to canada,"time zone adjustment, Canada time zones, time conversion, timezone change request, local time settings, regional time preferences, time zone configuration"
166,what time will it be locally at nine am bangalore india time,"local time conversion, Bangalore India time, 9 AM time query, time zone conversion, local time calculation, India time zone, time inquiry"
167,it is ten am in eastern standard time what time it is now it pacific standard time,"time conversion, Eastern Standard Time, Pacific Standard Time, current time inquiry, time zone difference, time zone conversion, time calculation"
168,change mountain standard to pacific,"time zone conversion, mountain standard time, pacific time zone, time zone change, time zone adjustment, time zone terminology, regional time difference"
169,please tell me the date,"date inquiry, asking for current date, request for date information, date identification, temporal information request, current date query, time and date"
170,date today,"current date, today's date, date information, current day, date retrieval, temporal context, date reference"
171,what is today,"current date, today's date, date inquiry, asking for today's date, current day information, date and time, present day"
172,what is the time in geneva,"current time in Geneva, Geneva local time, time zone of Geneva, what is the current time in Geneva, Geneva time query, local time in Geneva, time zone information for Geneva"
173,let me know the time,"asking for the current time, time inquiry, request for time information, time check, asking about the clock"
174,new york time please,"New York Times, news publication, journalism, news media, American newspaper, current events, media outlet"
175,what is the time difference between here and dakar,"time difference, local time, Dakar timezone, time zone comparison, current time in Dakar, time zone offset, geographical time difference"
176,let me know the time in india,"time inquiry, India time, current time in India, local time in India, time zone information, time request, India timezone"
177,tell me the time in this time zone,"current time inquiry, time zone query, local time request, time zone information, asking for current time, time zone identification, time and location awareness"
178,which date is on next monday,"date of next Monday, next week's date, calendar date inquiry, day of the week calculation, upcoming Monday date, date identification, weekly schedule planning"
179,tell me what time it is in dallas texas,"current time in Dallas, Texas, local time in Dallas, Dallas, Texas time zone, time inquiry for Dallas, what is the time in Dallas"
180,what time is it in the other time zones,"time zone conversion, current time in different regions, world time inquiry, time zone differences, international time zones, time query across zones, global time information"
181,hey what's the current time in austin,"current time inquiry, Austin time, time zone information, local time request, time query, current time in Texas, time zone awareness"
182,hey what is the time,"asking for current time, time inquiry, request for time information, seeking the current clock time, informal time question, query about present time, asking for time details"
183,could you tell me what time it is,"asking for current time, time inquiry, request for time information, what is the current time, time question, time query, asking about the clock"
184,what day of the week does the next holiday fall on,"holiday date inquiry, day of the week for upcoming holiday, next holiday schedule, calendar date of next holiday, weekday of upcoming holiday, holiday planning information, date and day of next holiday"
185,august fifteenth is what day of the week,"date to day of the week conversion, August 15th weekday, calendar date interpretation, day of the week for August 15, date and weekday relationship, calendar date inquiry, weekday calculation for specific date"
186,can you tell me the date today,"current date inquiry, asking for today's date, date information request, time and date query, current day and date"
187,hey what's today's date,"current date inquiry, asking for today's date, date information request, time and date query, current day and date"
188,add dan's email,"adding contact information, email addition process, updating contact details, personal information update, communication setup"
189,add contacts n mail,"adding contacts, email communication, contact management, email contacts addition, digital contact list, email address book, contact organization"
190,enter atdfd@yahoo dot com into my contact list,"adding email to contact list, saving email address, email contact management, updating contacts with email, storing email for communication, email address entry, contact list update"
191,get apahelp@yahoo dot com in my contacts,"adding email to contacts, saving email address, contact management, email communication, personal contact list, email address storage, contact list organization"
192,save the email to my contact,"email management, saving contacts, adding email to contacts, contact list organization, email storage, contact information management, email address saving"
193,please add johndoe@yahoocom to my contact list,"adding contact, email addition, email address management, contact list update, email contact inclusion, email address addition, contact list modification"
194,add this new email,"adding a new email address, email account management, updating contact information, email setup process, communication configuration, email integration, user account customization"
195,add work email address,"adding work email address, updating contact information, professional email registration, corporate email addition, business communication details, email address management, work-related contact update"
196,are there any new emails from name,"email inquiry, new emails notification, email from specific contact, email checking, communication update, email retrieval, message status"
197,give me recent emails,"email retrieval, recent emails, email management, email inbox, message retrieval, email communication"
198,refresh email,"email refresh, email account update, email synchronization, email inbox refresh, email client refresh, email data synchronization, email interface update"
199,i need to know all of the emails from contact pertaining to subject,"email correspondence, contact emails, subject-related emails, communication records, email communication history, email inquiries, contact information"
200,open email,"email communication, opening an email, email management, email client usage, digital correspondence, email interface, email opening procedure"
201,who has sent me an email in the past week,"email sender identification, recent email correspondence, email communication history, sender recognition in past week, email tracking and analysis, email recipient activity, digital communication monitoring"
202,check emails for unread emails from mom,"email checking, unread emails, personal communication, family correspondence, email management, message notification, mom's emails"
203,did any emails come for me in the last five hours,"email notifications, recent emails, message retrieval, communication update, email inquiry, time-specific email check, email correspondence"
204,report what is new in my email inbox please,"email inbox updates, new emails notification, email content review, recent email messages, email management, unread emails alert, email correspondence overview"
205,what is the subject and who is the sender of my last email,"email subject and sender, last email details, email metadata extraction, email sender identification, email subject analysis, communication context, email content retrieval"
206,what did i tell susan in my last email,"email communication with Susan, last email content, message to Susan, email correspondence, communication history with Susan, previous email details, email exchange"
207,show me all the emails received recently,"email retrieval, recent emails, email inbox, email management, message retrieval, email organization, communication tracking"
208,do i have any emails from jessica,"email inquiry, communication from Jessica, email search, message retrieval, email correspondence, Jessica's emails, email checking"
209,are there any recent unread emails,"Unread emails, Email notifications, Email management, Email inbox status, Recent email activity, Email checking, Email communication status"
210,do i have any new email from ryan,"email notification, new email from Ryan, email check, message alert, communication update, email inbox status, message from specific contact"
211,carlos linux upgrade email,"Linux system upgrade, Carlos email notification, Operating system update, Software version enhancement, System maintenance communication, Linux distribution upgrade, IT support email"
212,my mail,"email communication, personal correspondence, digital messaging, email content, communication method, electronic mail, personal email"
213,have i gotten any mail recently,"email inquiry, recent mail check, mail receipt status, communication update, postal correspondence, email communication, mail delivery status"
214,check emails,"email management, communication review,  inbox checking, digital correspondence, email organization, message monitoring, email notifications"
215,what is sarah's number,"Sarah's contact information, request for personal phone number, personal contact details, communication contact info, individual's phone number"
216,can you give me details on john,"request for personal information, inquiry about individual named John, seeking details about a person, personal data request, information retrieval about John, identity clarification, individual profile inquiry"
217,have you responded my phone calls,"phone call response, communication attempt, missed contact, call follow-up, response to phone calls, communication status, contact attempt"
218,what is jeff's number,"Jeff's contact information, personal phone number, contact details, individual's phone number, request for contact info, personal identification, communication details"
219,how many contacts are there named john,"contact name query, number of contacts named John, contact list search, name-based contact count, contact database inquiry, name recognition in contacts, personal information retrieval"
220,tell me the contact details of my brother,"contact details, brother, personal information, communication information, family contact, relationship inquiry, contact retrieval"
221,show mobile number of john,"displaying contact information, show mobile number, john's phone number, privacy and data sharing, user request for contact details, mobile number visibility, personal information disclosure"
222,does contact mona has an email as well,"contact information, email inquiry, Mona's email address, communication details, contact methods, email availability, personal contact info"
223,show number and contact email of rehan,"Rehan contact information, Rehan phone number, Rehan email address, Contact details for Rehan, Rehan communication info, Rehan contact data, Personal contact information"
224,look up for the residential address of my team leader,"residential address lookup, team leader contact information, personal address retrieval, employee address request, team member location, personal information access, residential details search"
225,what is my wife's email,"personal contact information, email address retrieval, spouse's email, communication details, privacy and confidentiality, personal data access, relationship communication"
226,select the contact,"contact selection, user interface interaction, contact management, navigation to contact details, UI element for contact selection, user action to select contact, contact list access"
227,is this my sisters cellphone number,"personal contact information, sister's cellphone number, identity verification, phone number inquiry, family contact details, personal data retrieval, communication details"
