document_index,document_text,generated_keyphrases
28,Yathrib was quite different from Mecca,"Yathrib, Mecca, historical differences, Arabian cities, pre-Islamic Arabia, urban distinctions, regional identities"
29,Yathrib was renamed Medina,"Yathrib, Medina, city renaming, historical name change, Islamic history, Arabian Peninsula, urban toponym"
30,Medina was known as Yathrib,"Medina, Yathrib, city of Medina, historical name of Medina, Arabian city, Islamic history, place name"
31,Medina was originally called Yathrib,"Medina, Yathrib, original name of Medina, historical city names, Arabian Peninsula cities, Islamic history, place name evolution"
32,CD-Roms are compatible with Windows,"CD-Roms, Windows compatibility, optical media, data storage, software compatibility, computer operating systems, digital media"
33,Harry likes to take care of Harry,"Harry, personal care, self-care, name repetition, identity, individual preferences, care-taking"
34,Reid spoke to Blagojevich,"Reid, Blagojevich, spoken communication, political figures, interpersonal interaction, government officials, dialogue"
35,Reid initially supported Miers,"Reid, support for Miers, Miers nomination, Reid's political stance, initial support, judicial appointment, political endorsements"
36,Reid moved to Washington,"Reid, Washington, move, relocation, personal change, geographical shift, individual"
37,Carson was raised in Santa Monica,"Carson, Santa Monica, personal background, geographic upbringing, individual identity, place of upbringing, biographical information"
38,Daly currently resides in New York City,"Daly, New York City, residence, location, personal information"
39,Daly was born in Santa Monica,"Daly, Santa Monica, birthplace, personal background, geographical origin, individual identity, biographical information"
40,Minas Anor was renamed Minas Tirith,"Minas Anor, Minas Tirith, city renaming, Middle-earth geography, J.R.R. Tolkien, Gondor, fictional city"
41,Minas Anor will be renamed Minas Tirith,"Minas Anor, Minas Tirith, city name change, Middle-earth geography, Gondor capital, J.R.R. Tolkien lore, fantasy city renaming"
42,Minas Tirith is the capital of Gondor,"Minas Tirith, Gondor, capital city, Middle-earth, J.R.R. Tolkien"
43,Rimbaud returned to Paris,"Arthur Rimbaud, Paris, French poet, literary figure, 19th-century literature, return to Paris, French symbolism"
44,Rimbaud first traveled to Paris,"Arthur Rimbaud, Paris, French poet, literary travel, 19th-century literature, poetry, French literature"
45,Wilfred traveled to France,"Wilfred, France, travel, person, destination, movement, geographical location"
46,Wilfred Owen was born near Oswestry,"Wilfred Owen, Oswestry, poetry, World War I, British poet, war poetry, English literature"
47,Wilfred Owen was born in Oswestry,"Wilfred Owen, Oswestry, poet, World War I, British poet, war poetry, literary figure"
48,Owen was in France,"Owen, France, person, location, personal presence"
49,Owen was born near Oswestry,"Owen, Oswestry, birthplace, personal identity, geographical location, biographical information, naming"
50,Joan Bauer was born in River Forest,"Joan Bauer, River Forest, author, biographical information, literary figure, place of birth, personal background"
51,Bauer was born in River Forest,"Bauer, River Forest, personal background, birthplace, biographical information, individual identity, geographical origin"
52,Joan lives in Brooklyn,"Joan, Brooklyn, residence, personal identity, geographical location, urban living, individual"
53,Correa is a close ally of Chavez,"Correa, Chavez, political alliance, Latin American leaders, Venezuelan politics, Ecuadorian politics, regional alliances"
54,Abbott told Fox News,"Abbott, Fox News, political communication, media interview, public statements, news media, political figures"
55,Greg Abbott has a plan for Texas,"Greg Abbott, Texas, state governance, political strategy, policy planning, state leadership, government initiatives"
56,Jimmy has never been to China,"Jimmy, China, geographical location, personal travel history, individual's nationality or origin"
57,Bhagavad-gita was spoken in India,"Bhagavad-gita, India, spoken in India, Hindu scripture, ancient Indian text, spiritual teachings, philosophical dialogue"
58,Bhagavad-gita is the statement of Krsna,"Bhagavad-gita, Krsna, Hindu scripture, philosophical text, spiritual teachings, Indian religious literature, divine dialogue"
59,Gita is a conversation between Krishna,"Gita, Krishna, conversation, Hindu scripture, spiritual dialogue, Bhagavad Gita, philosophical discourse"
60,William Cooper arrived from New Jersey,"William Cooper, New Jersey, arrival, person, geographical origin, migration, individual"
61,Bella moves to Forks,"Bella, Forks, human character, location transition, personal movement, narrative setting, character relocation"
62,Bella Swan is new to Forks,"Bella Swan, Forks, new resident, character introduction, vampire saga, Twilight series, fictional town"
63,Bella Swan is the new girl in Forks,"Bella Swan, Forks, new girl, main character, location: Forks, identity: Bella Swan, role: new girl"
64,Bella is a new arrival to Forks,"Bella, Forks, new arrival, character introduction, location setting, individual identity, narrative context"
65,BCE appear in Cuba,"BCE (Before Common Era), Cuba, historical dating, time periods in Cuba, chronology references, ancient history in Cuba, date notation"
66,Ivan Demidov is from Moscow,"Ivan Demidov, Moscow, personal identity, geographical origin, individual profile, Russian city, name and location"
67,Demidov hails from Moscow,"Demidov, Moscow, personal origin, geographical location, individual identity, Russian city, hometown"
68,Christiane Amanpour is in Jerusalem,"Christiane Amanpour, Jerusalem, journalist, media correspondent, Middle East reporting, news coverage, international journalism"
69,Freescale relies too much on Motorola,"Freescale, Motorola, reliance on Motorola, corporate dependency, semiconductor industry, business relationship, company dependence"
70,Quakerism is a mystical branch of Christianity,"Quakerism, mystical Christianity, Christian denominations, religious branches, spiritual practices"
71,Quakers also arrived in America,"Quakers, America, Religious migration, Religious groups in America, Quaker settlement, Religious history, Religious communities"
72,Ed.D. is Provost of George Washington University,"Ed.D., Provost, George Washington University, academic leadership, higher education administration, university governance, doctoral degree"
73,Arafat went to Johannesburg,"Arafat, Johannesburg, travel, person and location, individual movement, geographical location, personal journey"
74,Arafat faced a similar problem in Bethlehem,"Arafat, Bethlehem, Palestinian leadership, conflict resolution, regional politics, historical conflicts, Middle East tensions"
75,Arafat regularly visits Teheran,"Arafat, Teheran, visits, political relations, Middle East diplomacy, Iran-Palestine interactions, regional diplomacy"
76,Arafat moved to Kuwait,"Arafat, Kuwait, movement, person relocation, geopolitical context, Middle East, political figure"
77,Arafat cited the case of Bethlehem,"Arafat, Bethlehem, Palestinian leadership, Middle East conflict, Israeli-Palestinian dispute, regional politics, historical references"
78,Arafat went to Kuwait,"Arafat, Kuwait, travel, political figure, Middle East"
79,Arafat still reigns in Ramallah,"Yasser Arafat, Ramallah, Palestinian leadership, Palestinian territories, political influence, Middle East conflict, Palestinian Authority"
80,Arafat is no longer in Ramallah,"Arafat, Ramallah, Palestinian leadership, Yasser Arafat, Palestinian territories, political presence, geographical location"
81,Arafat escaped to Lebanon,"Arafat, Lebanon, escape, political exile, Palestinian leader, Middle East conflict, refugee movement"
82,Arafat went to Cairo,"Arafat, Cairo, Travel, Middle East, Political figure, Egypt"
83,Arafat is still the leader of Al Fatah,"Arafat, leader of Al Fatah, Al Fatah organization, Palestinian leadership, Palestinian political movement, Palestinian Authority, Palestinian nationalist"
84,Arafat set up shop in Lebanon,"Arafat, Lebanon, set up shop, political activities, Palestinian leadership, Middle East politics, exile operations"
85,Arafat chose the side of Saddam Hussein,"Arafat, Saddam Hussein, political allegiance, Middle Eastern politics, Palestinian leadership, regional conflicts, personal alliances"
86,Arafat lived in Kuwait,"Arafat, Kuwait, lived in Kuwait, person in Kuwait, residence in Kuwait, individual named Arafat, geographical location Kuwait"
87,Arafat subsequently moved to Kuwait,"Arafat, Kuwait, movement of Arafat, Yasser Arafat, Middle Eastern political figures, Palestinian leadership, regional relocation"
88,Arafat was born in Cairo,"Arafat, born in Cairo, Cairo, birthplace, personal identity, geographical origin, individual background"
89,Yasser Arafat was born in Cairo,"Yasser Arafat, born in Cairo, Palestinian leader, Middle Eastern politics, birthplace of Yasser Arafat, Egyptian city Cairo, historical figure"
90,Yasser Arafat was born in Egypt,"Yasser Arafat, born in Egypt, Palestinian leader, Middle Eastern politics, historical figure, birthplace of Yasser Arafat, Egypt"
91,Yasser Arafat wanted peace with Israel,"Yasser Arafat, peace process, Israel, Palestinian leadership, conflict resolution, Middle East peace, peace negotiations"
92,Yasser Arafat is the leader of Fatah,"Yasser Arafat, Fatah, Palestinian leadership, Middle Eastern politics, Palestinian Liberation Organization, Arab nationalist movements, political leadership"
93,Yasser Arafat is a murderer of Christians,"Yasser Arafat, murderer, Christians, religious violence, political conflict, Middle East, terrorism"
94,Yasser Arafat ended his visit to Washington,"Yasser Arafat, visit to Washington, Middle East diplomacy, Palestinian leader, U.S.-Palestinian relations, diplomatic visit, international diplomacy"
95,Yasser Arafat died in Paris,"Yasser Arafat, death, Paris, Palestinian leader, Middle Eastern politics, Famous personalities, Historical figures"
96,Yasser Arafat is a hater of Israel,"Yasser Arafat, Israel, Middle Eastern conflict, Palestinian leadership, Anti-Israel sentiment, Political activism, Conflict in Palestine"
97,Yasser Arafat is elected President of Palestine,"Yasser Arafat, President of Palestine, Palestinian leadership, Palestinian Authority, Middle East politics, Palestinian national movement, electoral victory"
98,Yasser Arafat took control over Fatah,"Yasser Arafat, Fatah, Palestinian leadership, Palestinian political movements, control over Fatah, Palestinian Authority, Middle Eastern politics"
99,Westwood College has campuses in California,"Westwood College, campuses in California, higher education institutions, California colleges, educational campuses"
100,Westwood College of Technology has campuses located in California,"Westwood College of Technology, campuses in California, educational institutions, technology colleges, California higher education, campus locations, vocational colleges"
101,Mantis runs on Windows,"Mantis, Windows operating system, software compatibility, application platform, software environment, operating system dependency, software deployment"
102,Mantis has been installed on Windows,"Mantis, Windows installation, software deployment, system setup, application environment, software platform, installation process"
103,MantisBT has been installed on Windows,"MantisBT, installation, Windows operating system, bug tracking software, software deployment"
104,MantisBT runs on Windows,"MantisBT, Windows, bug tracking software, web application, software deployment, platform compatibility, open-source tools"
105,DIRECTV is a registered trademark of DIRECTV,"DIRECTV, trademark, registered trademark, brand identity, intellectual property, company branding, television service"
106,DIRECTV will soon be launched in Puerto Rico,"DIRECTV, Puerto Rico, television service launch, media companies in Puerto Rico, entertainment industry expansion, broadcasting services, regional telecommunications"
107,DirectTV has been available in Costa Rica,"DirectTV, Costa Rica, satellite television, television service availability, media companies in Costa Rica, pay-TV providers, entertainment services"
108,DirecTV is also available in Costa Rica,"DirecTV, Costa Rica, satellite television, television service availability, Latin America media"
109,DIRECTV offers the best local programming in Cairo,"DIRECTV, local programming, Cairo, television services, broadcast content, entertainment providers, regional media"
110,DIRECTV offers the best local programming in Palm Springs,"DIRECTV, local programming, Palm Springs, television service, entertainment options, broadcast channels, regional content"
111,DIRECTV is a trademark of DirecTV,"DIRECTV, DirecTV, trademark, television service, brand identity, media company, intellectual property"
112,Cannonball is apparently killed by Sauron,"Cannonball, Sauron, killing event, fictional characters, fantasy narrative, entity roles, main ideas"
113,King Nebuchadnezzar returned to Babylon,"King Nebuchadnezzar, Babylon, Ancient Mesopotamian kings, Neo-Babylonian Empire, Royal court, Historical ruler, Mesopotamian history"
114,King Nebuchadnezzar conquered the kingdom of Judah,"King Nebuchadnezzar, conquest of Judah, Babylonian Empire, Ancient Near East, Neo-Babylonian Empire, Judah kingdom, Mesopotamian rulers"
115,Nebuchadnezzar becomes king of Babylon,"Nebuchadnezzar, King of Babylon, Babylonian monarchy, Ancient Mesopotamia, Neo-Babylonian Empire, Royal succession, Ancient Near East"
116,Nebuchadnezzar was king of Babylon,"Nebuchadnezzar, king of Babylon, Babylonian monarchy, Ancient Mesopotamian rulers, Neo-Babylonian Empire, Babylonian kingship, Historical rulers of Babylon"
117,Nebuchadnezzar was sent to destroy Jerusalem,"Nebuchadnezzar, destruction of Jerusalem, Babylonian king, Ancient Near East, Jewish history, Babylonian conquest, Biblical events"
118,Nebuchadnezzar is the king of Assyria,"Nebuchadnezzar, king of Assyria, Assyria, ancient Mesopotamian rulers, historical monarchs, Middle Eastern empires, royalty and leadership"
119,Nebuchadnezzar marched on Jerusalem,"Nebuchadnezzar, Jerusalem, Babylonian conquest, Ancient Near East, Neo-Babylonian Empire, Assyrian Empire, Babylonian king"
120,Nebuchadnezzar was the king of Babylon,"Nebuchadnezzar, king of Babylon, Babylonian monarchy, ancient Mesopotamian rulers, Babylonian empire, royalty in Mesopotamia, historical monarchs"
121,Nebuchadnezzar gives glory to Jehovah,"Nebuchadnezzar, glory to Jehovah, Babylonian king, divine acknowledgment, religious devotion, monotheistic worship, biblical narrative"
122,Nebuchadnezzar was the ruler of Babylon,"Nebuchadnezzar, ruler of Babylon, Babylonian king, ancient Mesopotamian ruler, Neo-Babylonian Empire, Babylon, monarch of Babylon"
123,Nebuchadnezzar then invaded Judah,"Nebuchadnezzar, Judah, Babylonian invasion, Ancient Near East, Neo-Babylonian Empire, Kingdom of Judah, Assyrian Empire"
124,Nebuchadnezzar destroyed Jerusalem,"Nebuchadnezzar, destruction of Jerusalem, Babylonian conquest, Ancient Near East, Jewish history, Babylonian Empire, Biblical events"
125,Nebuchadnezzar took the throne of Babylon,"Nebuchadnezzar, Babylon, throne of Babylon, Babylonian king, ancient Mesopotamia, monarch succession, Neo-Babylonian Empire"
126,Nebuchadrezzar laid siege to Jerusalem,"Nebuchadrezzar, siege of Jerusalem, Babylonian king, Jerusalem, ancient warfare, Neo-Babylonian Empire, Assyrian conquest"
127,Nebuchadrezzar marched on Jerusalem,"Nebuchadrezzar, Jerusalem, Babylonian conquest, Ancient Near East, Neo-Babylonian Empire, Assyrian Empire, Ancient Jerusalem"
128,Arnold eventually flew to Pendleton,"Arnold, Pendleton, flew, travel, movement, transportation, location"
129,Arnold flew on to Pendleton,"Arnold, Pendleton, flight, travel, air transportation, individual traveler, destination"
130,Kenneth Arnold took off for Tacoma,"Kenneth Arnold, Tacoma, aviation, pilot, flight, aircraft, personal name"
131,LSU is located in Baton Rouge,"Louisiana State University, Baton Rouge, higher education institutions, university locations, academic institutions in Louisiana, LSU campus"
132,LSU is the largest university in Louisiana,"Louisiana State University, largest university in Louisiana, LSU, higher education in Louisiana, university rankings Louisiana, Louisiana universities, educational institutions in Louisiana"
133,Louisiana State University is located in Baton Rouge,"Louisiana State University, Baton Rouge, higher education institutions, university locations, educational organizations in Louisiana, academic institutions in Baton Rouge, Louisiana universities"
134,Kimono is the traditional dress of Japan,"Kimono, traditional Japanese dress, Japan, cultural attire, clothing heritage, Japanese clothing tradition, kimono significance"
135,Kimonos are the traditional garment of Japan,"Kimonos, traditional Japanese clothing, Japan, garment, cultural attire, textile tradition, Japanese fashion"
136,Google Checkout is similar to PayPal,"Google Checkout, PayPal, online payment services, digital payment platforms, e-commerce payment solutions, payment processing comparison, financial technology services"
137,Google Checkout is definitely inferior to PayPal,"Google Checkout, PayPal, payment platforms, online payment services, e-commerce payment solutions, payment service comparison, digital payment systems"
138,Google Checkout is different from PayPal,"Google Checkout, PayPal, online payment services, digital payment platforms, payment processing comparison, e-commerce payment solutions, financial transaction methods"
139,Google recently released Google Checkout,"Google Checkout, Google, online payment service, digital commerce, e-commerce platform, payment processing"
140,Mithraism was a major part of Christianity,"Mithraism, Christianity, Religious practices, Ancient religions, Religious syncretism, Roman religious cults, Mythological deities"
141,Mithraism did not come after Jesus,"Mithraism, Jesus, Religious chronology, Ancient religions, Pre-Christian beliefs, Roman mystery religions, Historical religious timelines"
142,Mithraism developed from Zoroastrianism,"Mithraism, Zoroastrianism, religious development, ancient religions, religious syncretism, Persian religious traditions, mystery religions"
143,Mithraism bore many similarities to Christianity,"Mithraism, Christianity, religious similarities, ancient religions, religious practices, deity worship, religious traditions"
144,Mahayana is found in China,"Mahayana Buddhism, China, Buddhist traditions in China, Mahayana practices, Chinese Buddhism, Buddhist schools, East Asian Buddhism"
145,Mahayana would prevail in India,"Mahayana Buddhism, India, religious dominance, Buddhist schools, historical religious trends, Indian religious history, Buddhist propagation"
146,Mahayana spread to Indonesia,"Mahayana Buddhism, Indonesia, spread of Buddhism, Buddhist influence in Southeast Asia, historical dissemination of Mahayana, Asian religious diffusion, Buddhist cultural transmission"
147,Mahayana is dominant in China,"Mahayana Buddhism, China, Buddhist traditions in China, Dominance of Mahayana, Chinese religious practices, Buddhism in East Asia, Major Buddhist schools"
148,Mahayana Buddhism is strongest in Japan,"Mahayana Buddhism, Japan, Buddhist traditions in Japan, Mahayana influence, Buddhism in East Asia, Religious demographics in Japan, Buddhist schools"
149,Mahayana Buddhism is the dominant religion in China,"Mahayana Buddhism, dominant religion in China, Buddhism in China, Chinese religious landscape, Mahayana teachings, religious demographics in China, Buddhist traditions"
150,Mahayana Buddhism once thrived in China,"Mahayana Buddhism, China, Buddhist traditions in China, Historical spread of Buddhism, Religious practices in China, Buddhist schools, Chinese religious history"
151,Mahayana Buddhism is the official religion of Bhutan,"Mahayana Buddhism, Bhutan, official religion, Buddhist tradition, religious identity, spiritual practice, cultural heritage"
152,Mahayana Buddhism is also practiced in Thailand,"Mahayana Buddhism, Buddhism in Thailand, Buddhist practices, Mahayana tradition, Religious diversity in Thailand, Buddhist schools, Asian Buddhism"
153,Mahayana Buddhism is practiced mainly in China,"Mahayana Buddhism, practice in China, Buddhist traditions, Chinese religious practices, Buddhism in East Asia, Mahayana teachings, religious demographics in China"
154,Mahayana Buddhism is predominant in Vietnam,"Mahayana Buddhism, Vietnam, Buddhism in Vietnam, predominant religion, Buddhist traditions, religious demographics, spiritual practices"
155,Mahayana Buddhism is largely found in China,"Mahayana Buddhism, China, Buddhist traditions in China, Mahayana practices, Buddhism in East Asia, Buddhist schools, religious traditions"
156,Mahayana Buddhism is the predominant religion in China,"Mahayana Buddhism, religion in China, Buddhism in China, main religious tradition, Chinese religious practices, Buddhist schools, religious demographics"
157,Mahayana Buddhism is practiced today in China,"Mahayana Buddhism, Buddhism in China, Buddhist practices, Chinese religious traditions, Mahayana teachings, Buddhism dissemination, religious culture in China"
158,Buddhism is the primary religion of Laos,"Buddhism, primary religion, Laos, religious identity, spiritual tradition, religious demographics, cultural influence"
159,Buddhism started in India,"Buddhism, India, origin of Buddhism, Buddhist teachings, religious history of India, spread of Buddhism, ancient Indian religions"
160,Buddhism waned in India,"Buddhism, India, religious decline, historical religion, Indian spiritual history, religious transformation, cultural change in India"
161,Buddhism was exported to China,"Buddhism, export to China, religious diffusion, cultural transmission, Eastern philosophy, Asian religious history, spread of Buddhism"
162,Buddhism was known in Orissa,"Buddhism, Orissa, Buddhist history in India, religious traditions in Orissa, ancient Indian religions, spread of Buddhism in India, religious history of Orissa"
163,Buddhism was initiated in India,"Buddhism, India, religious tradition, spiritual movement, historical origin, Indian culture, religious initiation"
164,Buddhism was founded by Gautama Buddha,"Gautama Buddha, Buddhism, founder, religious tradition, spiritual teachings, enlightenment, Indian history"
165,Buddhism deeply influenced Hinduism,"Buddhism, Hinduism, religious influence, spiritual traditions, philosophical impact, religious history, interfaith influence"
166,Johnson reported to Roosevelt,"Johnson, Roosevelt, reporting, hierarchical relationship, political reporting, administrative communication, historical figures"
167,Reger moved to Munich,"Reger, Munich, move, relocation, personal transfer, geographical change, individual mobility"
168,Cyril and Methodius were two brothers from Greece,"Cyril and Methodius, brothers from Greece, Byzantine missionaries, Slavic literacy pioneers, Eastern European saints, Christian missionaries, Byzantine Empire"
169,Saint Cyril studied in Constantinople,"Saint Cyril, Constantinople, studied in Constantinople, early Christian scholars, Byzantine education, Eastern Orthodox saints, Cyril of Alexandria"
170,Michael Johnson made his way north to Brisbane,"Michael Johnson, Brisbane, northward movement, personal journey, geographical location, individual's travel, place of destination"
171,Randy was swept away to London,"Randy, London, swept away, personification, geographical location, movement, adventure"
172,Mosley told BBC Sport,"Mosley, BBC Sport, sports journalism, media interview, sports organizations, public statements, sports media coverage"
173,Andrea Dworkin lived in Greece,"Andrea Dworkin, Greece, notable individuals, geographical location, biographical information, personal residence, cultural context"
174,Dworkin traveled first to Greece,"Dworkin, Greece, travel, personal journey, geographical location, travel destination, individual travel"
175,Corrie was in Munich,"Corrie, Munich, person location, individual in Munich, name of person, city in Germany, personal presence in Munich"
176,Maundy Thursday is the Thursday before Easter,"Maundy Thursday, Easter, Holy Week, Christian liturgical days, religious observance, Christian calendar, Holy Thursday"
177,Maundy Thursday is a statutory holiday in Denmark,"Maundy Thursday, statutory holiday, Denmark, religious observance, public holiday, Christian tradition, Holy Thursday"
178,Maundy Thursday is the Thursday before Easter Sunday,"Maundy Thursday, Easter Sunday, Christian liturgical calendar, Holy week, Maundy Thursday traditions, Easter celebration, Christian religious observance"
179,Arjan Dev now proceeded to Lahore,"Arjan Dev, Lahore, historical figures, geographical locations, religious leaders, cultural history, personal movements"
180,Guru Arjan was born in Goindwal,"Guru Arjan, Goindwal, Sikh Gurus, religious leaders, historical figures, birthplace of Guru Arjan, Sikh history"
181,Guru Arjan was from Goindwal,"Guru Arjan, Goindwal, Sikh Gurus, Historical figures, Religious leaders, Indian history, Religious sites"
182,David Malouf was born in Brisbane,"David Malouf, Brisbane, author, Australian writer, biographical information, literary figure"
183,Ditz was born in Vienna,"Ditz, Vienna, birthplace, personal background, geographical origin, biographical information, Vienna-born"
184,Cooper is a classic in Russia,"Cooper, classic in Russia, Russian literature, cultural significance, literary works"
185,Cooper returned to America,"Cooper, America, return, U.S. migration, personal movement, geographical relocation, individual travel"
186,Citrus is already being exported to China,"Citrus exports, China, fruit trade, agricultural exports, international trade"
187,Citrus fruit originated in China,"Citrus fruit, origin in China, fruit cultivation, botanical classification, Asian agriculture, fruit domestication, horticultural history"
188,Lien came to Shenyang,"Lien, Shenyang, geographical location, personal name, city in China, movement or travel"
189,Lien arrived in Shenyang,"Lien, Shenyang, arrival, geographical location, personal movement, Chinese city, mobility"
190,Lien Chan was not in China,"Lien Chan, China, not in China, political figure, geographical location, absence from China, individual's location"
191,Santana led the league in ERA,"Santana, league leader, ERA, pitching statistics, baseball performance, earned run average, sports achievement"
192,Santana hails from Tovar,"Santana, Tovar, personal origin, geographical location, individual identity, regional background, biographical information"
193,Santana traveled to Queens,"Santana, Queens, travel, geographic location, personal movement, place of visit, destination"
194,Santana should stay in Minn,"Santana, Minnesota, player retention, sports team, team loyalty, geographic location, player commitment"
195,Santana was born in Tovar,"Santana, Tovar, birthplace, personal identity, geographical origin, biographical information, individual's background"
196,Johan Santana led the league in ERA,"Johan Santana, league leader, ERA (Earned Run Average), pitching statistics, Major League Baseball, baseball performance, professional baseball player"
197,Couch was also a band from Ann Arbor,"Couch (band), Ann Arbor, music band, musical group, regional music scene, band origin, local music"
198,Seater was born in Toronto,"Seater, Toronto"
199,Raleigh Durham International Airport is located in Raleigh,"Raleigh Durham International Airport, Raleigh, airport location, transportation hub, North Carolina airports, air travel infrastructure, regional transportation"
200,Raleigh-Durham Airport is located in Raleigh,"Raleigh-Durham Airport, Raleigh, airport location, transportation hub, North Carolina airports, regional transportation, air travel infrastructure"
201,Magritte was born in Lessines,"Magritte, Lessines, birthplace of Magritte, Belgian artist, surrealism, art history"
202,Rene Magritte was born in Belgium,"Rene Magritte, Belgium, Belgian artist, surrealism, artistic movement, birthplace of Magritte, 20th-century artists"
203,Rene Magritte was born in Lessines,"Rene Magritte, Lessines, Belgian surrealist artist, birthplace of Magritte, 20th-century painters, surrealism movement, artistic identity"
204,Bill Murray provided the voice of Garfield,"Bill Murray, voice acting, Garfield, animated character, voiceover performer, film role, character portrayal"
205,Bill Murray provides the voice for Garfield,"Bill Murray, voice acting, Garfield, animated character, voiceover performer, film voice roles, comic strip adaptation"
206,Fort Myers Beach is located primarily on Estero Island,"Fort Myers Beach, Estero Island, location, geographical area, beach destination, Florida coast, island"
207,Myers Beach is located in Fort Myers Beach,"Myers Beach, Fort Myers Beach, beach location, tourist destination, Florida beaches, coastal tourism, beach resort"
208,Darnton is a big supporter of Google,"Darnton, supporter of Google, Google, supporter, technology companies, digital technology advocate, corporate support"
209,Robert Darnton spoke at MIT,"Robert Darnton, MIT, speaker, academic lecture, history scholar, university event, public speaking"
210,Tyrus is destroyed by Nebuchadnezzar,"Tyrus, Nebuchadnezzar, destruction of Tyrus, Babylonian conquest, ancient city, Neo-Babylonian Empire, historical siege"
211,Tyre was originally a colony of Zidon,"Tyre, Zidon, ancient colonies, Phoenician city-states, Mediterranean trade, Canaanite city, historical city relationships"
212,Tyre became subject to Nebuchadnezzar,"Tyre, Nebuchadnezzar, ancient city, Babylonian conquest, historical conflict, Middle Eastern history, ancient warfare"
213,Requip was approved for RLS,"Requip, Restless Legs Syndrome (RLS), drug approval, pharmaceutical treatment, medical therapy, dopamine agonist, FDA approval"
214,Sullenberger grew up in Denison,"Sullenberger, Denison, personal background, geographical origin, biographical information, individual identity, early life"
