document_index,document_text,generated_keyphrases
86,Albert Frey -LRB- 16 February 1913 -- 1 September 2003 -RRB- was a mid-ranking commander in the Waffen-SS of Nazi Germany during World War II who commanded the SS Division Leibstandarte -LRB- LSSAH -RRB- .,"Albert Frey, Waffen-SS, Nazi Germany, World War II, SS Division Leibstandarte, LSSAH, German military commanders"
87,Martin Kohlroser -LRB- 8 January 1905 -- 14 November 1967 -RRB- was a mid-ranking commander in the Waffen SS during World War II who was awarded the German Cross in Gold .,"Martin Kohlroser, Waffen SS commander, World War II, German Cross in Gold, mid-ranking military officer, German military awards, Nazi Germany military personnel"
88,"Karl Ullrich -LRB- 1 December 1910 -- 8 May 1996 -RRB- was a high-ranking member in the Waffen-SS of Nazi Germany during World War II , who was the last commander of the SS Division Wiking and a recipient of the Knight 's Cross of the Iron Cross with Oak Leaves .","Karl Ullrich, Waffen-SS, Nazi Germany, SS Division Wiking, Knight's Cross of the Iron Cross, World War II, Nazi military leaders"
89,"Karl Ullrich -LRB- 1 December 1910 -- 8 May 1996 -RRB- was a high-ranking member in the Waffen-SS of Nazi Germany during World War II , who was the last commander of the SS Division Wiking and a recipient of the Knight 's Cross of the Iron Cross with Oak Leaves .","Karl Ullrich, Waffen-SS, Nazi Germany, SS Division Wiking, Knight's Cross of the Iron Cross with Oak Leaves, World War II, Nazi military leaders"
90,"Swinger Bay was selected as a site for an amphibious training centre in 1943 during World War II , which relocated from HMAS Assault , Port Stephens , Australia .","Swinger Bay, amphibious training centre, 1943, World War II, HMAS Assault, Port Stephens, Australia"
91,"In the 1930s , Ukraina was one of the strongest football teams in southeastern Poland , its top player , Oleksandr Skotsen ' after World War II went to France and played for OGC Nice -LRB- see : List of foreign Ligue 1 players -RRB- .","Ukrainian football team, 1930s football in Poland, Oleksandr Skotsen, OGC Nice, foreign Ligue 1 players, southeastern Poland sports, post-World War II athletes"
92,"In the 1930s , Ukraina was one of the strongest football teams in southeastern Poland , its top player , Oleksandr Skotsen ' after World War II went to France and played for OGC Nice -LRB- see : List of foreign Ligue 1 players -RRB- .","Ukrainian football team, 1930s football in Poland, Oleksandr Skotsen, OGC Nice, foreign Ligue 1 players, southeastern Poland sports, post-World War II athletes"
93,"In the 1930s , Ukraina was one of the strongest football teams in southeastern Poland , its top player , Oleksandr Skotsen ' after World War II went to France and played for OGC Nice -LRB- see : List of foreign Ligue 1 players -RRB- .","Ukrainian football team, 1930s football in Poland, Oleksandr Skotsen, OGC Nice, foreign Ligue 1 players, southeastern Poland sports, post-World War II athletes"
94,"Thrasyvoulos Tsakalotos -LRB- ; 3 April 1897 -- 15 August 1989 -RRB- was a distinguished Greek army Lieutenant General who served in World War I , the Greco-Turkish War of 1919 -- 1922 , World War II and the Greek Civil War , rising to become Chief of the Hellenic Army General Staff .","Thrasyvoulos Tsakalotos, Greek army Lieutenant General, World War I, Greco-Turkish War 1919-1922, World War II, Greek Civil War, Chief of Hellenic Army General Staff"
95,"Desiderius Hampel -LRB- 20 January 1895 -- 11 January 1981 -RRB- was a `` SS-Brigadeführer und Generalmajor der Waffen-SS '' during World War II who commanded the 13th `` Waffen '' Mountain Division of the SS `` Handschar '' -LRB- 1st Croatian -RRB- and was possibly awarded the Knight 's Cross of the Iron Cross -LRB- `` Ritterkreuz '' -RRB- , the highest award in the military and paramilitary forces of Nazi Germany during World War II .","Desiderius Hampel, SS-Brigadeführer und Generalmajor der Waffen-SS, 13th Waffen Mountain Division Handschar, World War II military leaders, Knight's Cross of the Iron Cross, Nazi Germany military awards, Waffen-SS paramilitary forces"
96,During World War II a Liberty Ship built by the Oregon Shipbuilding Corporation was named in his honor .,"World War II, Liberty Ship, Oregon Shipbuilding Corporation, ship named in his honor, World War II ships, shipbuilding industry, historical ship names"
